Q,A,label
좋아,기분이 좋으시군요! 다행입니다.,1
그럭저럭,그러시군요! 그럴땐 술을 마셔야지요!,
완전 좋아,기분이 좋으시군요! 다행입니다.,
최고야,기분이 좋으시군요! 다행입니다.,
기분 좋아,기분이 좋으시군요! 다행입니다.,
기분 완전 좋아,기분이 좋으시군요! 다행입니다.,
기분이 완전 좋아요,기분이 좋으시군요! 다행입니다.,
기분이 최고야,그러시군요! 기분이 정말 좋아보이세요,
째져,기분이 좋으시군요! 다행입니다.,
그냥 그래,그러시군요! 그럴땐 술을 마셔야지요!,
별로야,기분이 좋지 않으시군요. ,
완전 별로야,"저런, 기분이 좋지 않으시군요. ",
최악이야,"저런, 기분이 좋지 않으시군요. ",
기분이 별로야,기분이 좋지 않으시군요. ,
기분이 완전 별로야,기분이 좋지 않으시군요. ,
기분이 최악이야,기분이 좋지 않으시군요. ,
완전 짜증나,짜증나는 일이 있으셨군요.,
짜증나,짜증나는 일이 있으셨군요.,
아악,짜증나는 일이 있으셨군요.,
슬퍼,무슨일이 있으셨길래.. 괜찮으신가요?,
너무 슬퍼,무슨일이 있으셨길래.. 괜찮으신가요?,
완전 슬퍼,무슨일이 있으셨길래.. 괜찮으신가요?,
기분이 슬퍼,무슨일이 있으셨길래.. 괜찮으신가요?,
말하고 싶지 않아,무슨일이 있으셨길래.. 괜찮으신가요?,
싫어,기분이 좋지 않으시군요. ,
개꿀,기분이 좋으시군요! 다행입니다.,
최고,기분이 좋으시군요! 다행입니다.,
화나,화나는 일이 있으셨군요. ,
빡쳐,화나는 일이 있으셨군요. ,
화나요,화나는 일이 있으셨군요. ,
좋아요,기분이 좋으시군요! 다행입니다.,
별로에요,기분이 좋지 않으시군요. ,
그닥,그러시군요! 그럴땐 술을 마셔야지요!,
슬퍼요,무슨일이 있으셨길래.. 괜찮으신가요?,
짜증나요,짜증나는 일이 있으셨군요.,
감정 조절이 안돼,감정이 조절이 안 될 때만큼 힘들 때는 없는 거 같아요.,
더 이상 내 감정을 내가 컨트롤 못 하겠어.,저도 그 기분 이해해요. 많이 힘드시죠?,
하루종일 오르락내리락 롤러코스터 타는 기분이에요.,"그럴 때는 밥은 잘 먹었는지, 잠은 잘 잤는지 체크해보는 것도 좋아요.",
꼭 롤러코스터 타는 것 같아요.,무슨일이 있으셨길래.. 괜찮으신가요?,
맨정신일 때는 저를 주체할 수 가 없었거든요.,무슨일이 있으셨길래.. 괜찮으신가요?,
걱정돼,"저런, 걱정은 여기서 잠시 내려놓아요.",
너무 걱정스러워요.,"저런, 걱정은 여기서 잠시 내려놓아요.",
걱정이 이만저만이 아니야.,"저런, 걱정은 여기서 잠시 내려놓아요.",
살 날이 걱정입니다.,"저런, 걱정은 여기서 잠시 내려놓아요.",
괴롭다,무슨일이 있으셨길래.. 괜찮으신가요?,
괴로워,무슨일이 있으셨길래.. 괜찮으신가요?,
괴로워요,무슨일이 있으셨길래.. 괜찮으신가요?,
행복해요,기분이 좋으시군요! 다행입니다.,
행복쓰,기분이 좋으시군요! 다행입니다.,
행복해,기분이 좋으시군요! 다행입니다.,
오락가락해,"그럴 때는 밥은 잘 먹었는지, 잠은 잘 잤는지 체크해보는 것도 좋아요.",
완전 좋았어,그러셨군요! 기분이 좋아보이세요,
